
Column:      Name:
1     subject
2     activity
3     tBodyAccMag_std
4     tGravityAccMag_std
5     tBodyAccJerkMag_std
6     tBodyGyroMag_std
7     tBodyGyroJerkMag_std
8     fBodyAccMag_std
9     fBodyBodyAccJerkMag_std
10     fBodyBodyGyroMag_std
11     fBodyBodyGyroJerkMag_std
12     tBodyAccMag_mean
13     tGravityAccMag_mean
14     tBodyAccJerkMag_mean
15     tBodyGyroMag_mean
16     tBodyGyroJerkMag_mean
17     fBodyAccMag_mean
18     fBodyBodyAccJerkMag_mean
19     fBodyBodyGyroMag_mean
20     fBodyBodyGyroJerkMag_mean
21     angletBodyAccJerkMean_gravityMean
22     angletBodyGyroMean_gravityMean
23     angletBodyGyroJerkMean_gravityMean
24     angleX_gravityMean
25     angleY_gravityMean
26     angleZ_gravityMean
